# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,395.936,635.949,1.44915e-037,11403856,11404360,11404240,11404120,11403824,38041632,38041632,38041632,38056688,38065016,38043464
_Z15kernelFloodDownP6short2ii,94.912,121.671,0.667,0,0,0,32768,0,0,2112,0,31888,0,64
_Z13kernelFloodUpP6short2ii,122.016,140.396,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z24kernelPropagateInterbandP6short2ii,11.392,25.771,0.667,0,0,0,1044,0,0,658,102,3908,0,64
_Z20kernelUpdateVerticalP6short2iii,120.096,138.291,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z15kernelTransposeP6short2i,158.496,173.577,0.333,0,0,0,36864,0,0,832,0,34956,0,128
_Z25_A1_kernelProximatePointsP6short2ii,510.752,525.95,0.667,6746,4703,0,32768,0,0,22187,1910,217446,0,64
_Z31_A2_kernelCreateForwardPointersP6short2ii,112.992,127.689,0.667,0,0,0,32768,0,0,10292,1908,49158,0,64
_Z20_A3_kernelMergeBandsP6short2ii,44.192,58.613,0.5,599,0,11564,1408,0,0,1376,96,12805,0,32
_Z20_A3_kernelMergeBandsP6short2ii,25.28,39.055,0.5,283,0,5628,720,0,0,676,46,6291,0,16
_Z20_A3_kernelMergeBandsP6short2ii,13.632,27.134,0.5,159,0,2874,364,0,0,344,24,3225,0,8
_Z20_A3_kernelMergeBandsP6short2ii,10.592,24.108,0.5,71,0,1484,176,0,0,172,12,1622,0,4
_Z28_A4_kernelDoubleToSingleListP6short2i,110.336,123.791,0.667,0,0,0,32768,0,0,0,0,28688,0,2048
_Z15_A5_kernelColorP6short2i,1325.41,1344.06,0.667,0,0,262144,0,0,0,76655,15794,480711,96699,64
_Z15kernelTransposeP6short2i,159.04,177.827,0.333,0,0,0,36864,0,0,832,0,34953,0,128
memcpyDtoH,526.208,1027.17,0,0,0,0,0,0,8,0,18,12,12,0
memcpyHtoD,395.744,706.815,8.40779e-045,0,0,0,0,0,8,85,384,1,1,0
_Z17maKernelFloodDownP6short2ii,107.232,127.818,0.667,0,0,0,32768,0,0,2112,0,31886,0,64
_Z15maKernelFloodUpP6short2ii,121.568,139.836,0.667,0,0,0,32768,0,0,2112,0,44560,0,64
_Z26maKernelPropagateInterbandP6short2ii,12,26.37,0.667,0,0,0,1044,0,0,658,102,3908,0,64
_Z22maKernelUpdateVerticalP6short2iii,120.544,138.988,0.667,0,0,0,32768,0,0,2112,0,48720,0,64
_Z17maKernelTransposeP6short2i,160.864,174.835,0.333,0,0,0,36864,0,0,832,0,34952,0,128
memcpyDtoH,518.88,1232.62,0,1730004344,0,12517439,0,0,8,0,18,12,12,0
memcpyHtoD,397.728,628.464,0,264,0,50331648,0,0,8,82,384,1,1,0
_Z23_B1_maKernelCalEndPointP6short2ii,834.656,858.068,0.667,0,0,0,32768,0,0,94916,6892,407967,0,1024
_Z24_B2_maKernelCalInnerBandP6short2ii,494.752,748.8,0.417,0,0,0,0,28672,114688,10878,319,83554,0,1024
_Z17maKernelTransposeP6short2i,159.904,179.012,0.333,0,0,0,36864,0,0,832,0,34953,0,128
memcpyDtoH,517.888,1005.3,2.52234e-044,0,0,0,0,0,196610,0,0,12,12,0
