# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 8600 GTS
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyHtoD,1721.54,2057.49,1.07505e-037,11403848,11403976,11403856,11404008,11403896,11403776,11404016,11403896,34819736,34819616,35765352
_Z15kernelFloodDownP6short2ii,366.08,393.609,0.667,0,0,0,131072,0,0,8320,0,125200,0,128
_Z13kernelFloodUpP6short2ii,469.632,488.167,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z24kernelPropagateInterbandP6short2ii,22.976,37.476,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z20kernelUpdateVerticalP6short2iii,464.864,483.088,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z15kernelTransposeP6short2i,595.712,610.085,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
_Z25_A1_kernelProximatePointsP6short2ii,2854.24,2868.77,0.667,272965,15825,0,131072,0,0,105734,15971,1258541,0,128
_Z31_A2_kernelCreateForwardPointersP6short2ii,428.896,443.247,0.667,0,0,0,113848,0,0,40890,7738,189812,0,128
_Z20_A3_kernelMergeBandsP6short2ii,159.552,173.199,0.5,6544,0,34472,2520,0,0,4623,496,43923,0,64
_Z20_A3_kernelMergeBandsP6short2ii,82.176,97.223,0.5,3474,0,17622,1160,0,0,2281,245,21585,0,32
_Z20_A3_kernelMergeBandsP6short2ii,52.864,65.9,0.5,1680,0,8628,632,0,0,1172,125,11217,0,16
_Z20_A3_kernelMergeBandsP6short2ii,24.48,38.367,0.5,773,0,4226,308,0,0,577,62,5503,0,8
_Z28_A4_kernelDoubleToSingleListP6short2i,436.8,450.805,0.667,0,0,0,131072,0,0,0,0,114704,0,8192
_Z15_A5_kernelColorP6short2i,1569.28,1587.79,0.667,0,0,0,131072,0,0,91632,11433,484321,0,8
_Z15kernelTransposeP6short2i,597.952,617.144,0.333,0,0,0,139264,0,0,3200,0,127246,0,512
memcpyDtoH,2415.94,3193.19,0,37940,1730004244,0,1730004244,0,300,34340937,34341210,12,12,0
memcpyHtoD,1829.79,2509.57,8.40779e-045,0,0,0,0,0,100,13936136,35968224,1,1,0
_Z17maKernelFloodDownP6short2ii,384.384,408.054,0.667,0,0,0,131072,0,0,8320,0,125198,0,128
_Z15maKernelFloodUpP6short2ii,471.36,490.116,0.667,0,0,0,131072,0,0,8320,0,175120,0,128
_Z26maKernelPropagateInterbandP6short2ii,23.936,38.324,0.667,0,0,0,3840,0,0,1388,252,8220,0,128
_Z22maKernelUpdateVerticalP6short2iii,469.376,488.149,0.667,0,0,0,131072,0,0,8320,0,191632,0,128
_Z17maKernelTransposeP6short2i,595.616,609.95,0.333,0,0,0,139264,0,0,3200,0,127241,0,512
memcpyDtoH,2556.99,3429.87,0,0,61440,1730004344,61440,1730004344,600,262152,1,12,12,1730004344
memcpyHtoD,1647.07,1934.05,0,0,274608,264,3780390928,264,0,34340941,4369,1,1,264
_Z23_B1_maKernelCalEndPointP6short2ii,845.92,873.719,0.667,0,0,0,16384,0,0,90492,12808,398741,0,512
_Z24_B2_maKernelCalInnerBandP6short2ii,23170.2,23428.6,0.417,0,0,239838,486464,587461,2842876,2274094,210220,8965166,193919,512
_Z17maKernelTransposeP6short2i,593.28,614.01,0.333,0,0,0,139264,0,0,3200,0,127244,0,512
memcpyDtoH,2395.07,2888.1,0,4294967295,81,0,20,0,0,34078787,43,12,12,0
